,index,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg__estimator,param_reg__estimator__alpha,param_reg__estimator__l1_ratio,param_reg__estimator__penalty,param_reg__estimator__C,param_reg__estimator__kernel,param_reg__estimator__algorithm,param_reg__estimator__n_neighbors,param_reg__estimator__p,param_reg__estimator__weights,param_reg__estimator__criterion,param_reg__estimator__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model
32,32,0.10557222366333008,0.01555318422506973,0.02656846046447754,0.0053378077092272125,ElasticNet(),1.25,0.5,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.25, 'reg__estimator__l1_ratio': 0.5}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,ElasticNet()
33,33,0.12478275299072265,0.025802303580653465,0.03049159049987793,0.007178692494047501,ElasticNet(),1.25,0.75,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.25, 'reg__estimator__l1_ratio': 0.75}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,ElasticNet()
34,34,1.743321990966797,0.2031132402101908,0.02219047546386719,0.0012667122664308797,ElasticNet(),1.5,0.0,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.5, 'reg__estimator__l1_ratio': 0.0}",-0.1938949558915429,-0.19253726776935773,-0.19686162841644322,-0.18916916201534442,-0.1967286489774417,0.193838332614026,0.0028632630404740326,42,ElasticNet()
35,35,0.11310243606567383,0.016643728782816634,0.0298128604888916,0.007969614713737081,ElasticNet(),1.5,0.25,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.5, 'reg__estimator__l1_ratio': 0.25}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,ElasticNet()
36,36,0.11572432518005371,0.01743938866165419,0.034487152099609376,0.006597534609704554,ElasticNet(),1.5,0.5,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.5, 'reg__estimator__l1_ratio': 0.5}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,ElasticNet()
37,37,0.17925949096679689,0.06417300393072341,0.053976583480834964,0.036841013032816644,ElasticNet(),1.5,0.75,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.5, 'reg__estimator__l1_ratio': 0.75}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,ElasticNet()
38,38,1.8481204509735107,0.13722759425996522,0.027854156494140626,0.006300005800088338,ElasticNet(),1.75,0.0,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.75, 'reg__estimator__l1_ratio': 0.0}",-0.2007347918166996,-0.19772950625022367,-0.20110498703048352,-0.19572192227809732,-0.20463360527476784,0.19998496253005438,0.003055721630930522,43,ElasticNet()
39,39,0.10938701629638672,0.02265918833841892,0.022799348831176756,0.0010629658123202399,ElasticNet(),1.75,0.25,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.75, 'reg__estimator__l1_ratio': 0.25}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,ElasticNet()
40,40,0.10376524925231934,0.016331151250186783,0.03154468536376953,0.009598336125163616,ElasticNet(),1.75,0.5,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.75, 'reg__estimator__l1_ratio': 0.5}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,ElasticNet()
41,41,0.12255253791809081,0.012040813927150817,0.03134465217590332,0.007020412200083015,ElasticNet(),1.75,0.75,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.75, 'reg__estimator__l1_ratio': 0.75}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,ElasticNet()
42,42,0.1394524097442627,0.014487760389727508,0.029381752014160156,0.007044987313049416,SGDRegressor(),0.0001,,l1,,,,,,,,,"{'reg__estimator': SGDRegressor(), 'reg__estimator__alpha': 0.0001, 'reg__estimator__penalty': 'l1'}",-0.24897993562243634,-0.26570638580572026,-0.25965581954138384,-0.23088726757683842,-0.258536288453088,0.25275313939989336,0.0121756463145555,76,SGDRegressor()
43,43,0.11311731338500977,0.018055803075152317,0.029935026168823244,0.00720628160648354,SGDRegressor(),0.0001,,l2,,,,,,,,,"{'reg__estimator': SGDRegressor(), 'reg__estimator__alpha': 0.0001, 'reg__estimator__penalty': 'l2'}",-0.2424109894513896,-0.2606595314759378,-0.252897456965498,-0.23284505900146993,-0.26300469789532255,0.2503635469579236,0.011334613229562958,72,SGDRegressor()
44,44,0.1985703945159912,0.019520876616583215,0.04484710693359375,0.004785114393044344,SGDRegressor(),0.0001,,elasticnet,,,,,,,,,"{'reg__estimator': SGDRegressor(), 'reg__estimator__alpha': 0.0001, 'reg__estimator__penalty': 'elasticnet'}",-0.2494099065380127,-0.28250982830681015,-0.2543528552243921,-0.22841498182156966,-0.2544320844192268,0.2538239312620023,0.017254730516680934,78,SGDRegressor()
45,45,0.1290557861328125,0.019025386232346824,0.03109440803527832,0.00707617795737078,SGDRegressor(),0.0003,,l1,,,,,,,,,"{'reg__estimator': SGDRegressor(), 'reg__estimator__alpha': 0.0003, 'reg__estimator__penalty': 'l1'}",-0.24762992505765408,-0.2678721054294955,-0.26117670603445037,-0.2361310320333086,-0.26529312293219653,0.255620578297421,0.011985170378338772,80,SGDRegressor()
46,46,0.1366945743560791,0.019380163440359546,0.0439490795135498,0.014394795740887704,SGDRegressor(),0.0003,,l2,,,,,,,,,"{'reg__estimator': SGDRegressor(), 'reg__estimator__alpha': 0.0003, 'reg__estimator__penalty': 'l2'}",-0.25271765051440825,-0.2658319355187022,-0.2525492241332454,-0.23544490060236373,-0.2503863336295479,0.25138600887965346,0.009663637196670087,73,SGDRegressor()
47,47,0.13710594177246094,0.01945880609171473,0.03870697021484375,0.01962762240938392,SGDRegressor(),0.0003,,elasticnet,,,,,,,,,"{'reg__estimator': SGDRegressor(), 'reg__estimator__alpha': 0.0003, 'reg__estimator__penalty': 'elasticnet'}",-0.2425420834731797,-0.2651876309210327,-0.259347985084837,-0.22910562247604616,-0.2631188454781827,0.25186043348665565,0.013892750138568364,74,SGDRegressor()
48,48,0.1550286293029785,0.0159582959631361,0.03429388999938965,0.008397736808370351,SGDRegressor(),0.001,,l1,,,,,,,,,"{'reg__estimator': SGDRegressor(), 'reg__estimator__alpha': 0.001, 'reg__estimator__penalty': 'l1'}",-0.2593759327095185,-0.2827750866081528,-0.2729290043761247,-0.23895935597024942,-0.2781343038524626,0.26643473670330164,0.01581635659275421,84,SGDRegressor()
49,49,0.14311294555664061,0.0184062834338249,0.02900385856628418,0.00518042486618242,SGDRegressor(),0.001,,l2,,,,,,,,,"{'reg__estimator': SGDRegressor(), 'reg__estimator__alpha': 0.001, 'reg__estimator__penalty': 'l2'}",-0.250693606506566,-0.26737798434581034,-0.2533853121516065,-0.23712150746284272,-0.26228489614732586,0.2541726613228303,0.010427410983345512,79,SGDRegressor()
